Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
2024/1/25 15:00:00,"2,029 W",601 W,382 W,"1,046 W"
2024/1/25 16:00:00,"5,439 W",514 W,285 W,"4,640 W"
2024/1/25 17:00:00,"2,330 W",605 W,296 W,"1,429 W"
2024/1/25 18:00:00,"5,946 W",680 W,299 W,"4,967 W"
2024/1/25 19:00:00,"2,604 W",677 W,287 W,"1,640 W"
2024/1/25 20:00:00,"1,752 W",686 W,293 W,773 W
2024/1/25 21:00:00,"1,788 W",690 W,292 W,806 W
2024/1/25 22:00:00,"1,483 W",460 W,292 W,731 W
2024/1/25 23:00:00,"1,502 W",464 W,306 W,732 W
2024/1/26 0:00:00,"1,508 W",446 W,325 W,737 W
2024/1/26 1:00:00,"1,500 W",440 W,321 W,739 W
2024/1/26 2:00:00,"1,515 W",452 W,320 W,743 W
2024/1/26 3:00:00,"1,510 W",449 W,322 W,739 W
2024/1/26 4:00:00,"1,512 W",450 W,328 W,734 W
2024/1/26 5:00:00,"2,735 W",508 W,403 W,"1,824 W"
2024/1/26 6:00:00,"2,614 W",469 W,390 W,"1,755 W"
2024/1/26 7:00:00,"4,548 W",434 W,383 W,"3,731 W"
2024/1/26 8:00:00,"7,976 W",532 W,403 W,"7,041 W"
2024/1/26 9:00:00,"4,416 W",520 W,313 W,"3,583 W"
2024/1/26 10:00:00,"8,578 W",563 W,"1,229 W","6,786 W"
2024/1/26 11:00:00,"6,770 W",497 W,"1,197 W","5,076 W"
2024/1/26 12:00:00,"5,067 W",487 W,"1,219 W","3,361 W"
2024/1/26 13:00:00,"3,267 W",475 W,"1,287 W","1,505 W"
2024/1/26 14:00:00,"5,620 W",958 W,"1,289 W","3,373 W"
2024/1/26 16:00:00,"3,995 W",967 W,289 W,"2,739 W"
2024/1/26 17:00:00,"4,319 W",824 W,280 W,"3,215 W"
2024/1/26 18:00:00,"4,048 W",633 W,219 W,"3,196 W"
2024/1/26 19:00:00,"3,836 W",446 W,206 W,"3,184 W"
2024/1/26 20:00:00,"3,976 W",444 W,218 W,"3,314 W"
